"Razveze zakonskih zvez po: STATISTIČNA REGIJA, LETO , TRAJANJE ZAKONSKE"
"ZVEZE"

"Pomurska"
" ";"2003"
" ";" ";"1 leto";5
" ";" ";"2 leti";4
" ";" ";"3 leta";9
" ";" ";"4 leta";5
" ";" ";"5-9 let";30
" ";" ";"10-14 let";23
" ";" ";"15-19 let";21
" ";" ";"20-24 let";23
" ";" ";"25 ali več let";32
" ";"2011"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";3
" ";" ";"2 leti";12
" ";" ";"3 leta";6
" ";" ";"4 leta";4
" ";" ";"5-9 let";24
" ";" ";"10-14 let";17
" ";" ";"15-19 let";21
" ";" ";"20-24 let";15
" ";" ";"25 ali več let";27
" ";"2012"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";7
" ";" ";"2 leti";5
" ";" ";"3 leta";9
" ";" ";"4 leta";6
" ";" ";"5-9 let";35
" ";" ";"10-14 let";31
" ";" ";"15-19 let";22
" ";" ";"20-24 let";21
" ";" ";"25 ali več let";47
" ";"2013"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";3
" ";" ";"2 leti";7
" ";" ";"3 leta";7
" ";" ";"4 leta";7
" ";" ";"5-9 let";26
" ";" ";"10-14 let";18
" ";" ";"15-19 let";22
" ";" ";"20-24 let";13
" ";" ";"25 ali več let";31
" ";"2014"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";7
" ";" ";"2 leti";8
" ";" ";"3 leta";7
" ";" ";"4 leta";6
" ";" ";"5-9 let";31
" ";" ";"10-14 let";20
" ";" ";"15-19 let";24
" ";" ";"20-24 let";21
" ";" ";"25 ali več let";35
"Osrednjeslovenska"
" ";"2003"
" ";" ";"do 1 leta";6
" ";" ";"1 leto";17
" ";" ";"2 leti";21
" ";" ";"3 leta";25
" ";" ";"4 leta";34
" ";" ";"5-9 let";133
" ";" ";"10-14 let";123
" ";" ";"15-19 let";130
" ";" ";"20-24 let";105
" ";" ";"25 ali več let";137
" ";"2004"
" ";" ";"do 1 leta";11
" ";" ";"1 leto";11
" ";" ";"2 leti";15
" ";" ";"3 leta";27
" ";" ";"4 leta";29
" ";" ";"5-9 let";104
" ";" ";"10-14 let";101
" ";" ";"15-19 let";100
" ";" ";"20-24 let";107
" ";" ";"25 ali več let";115
" ";"2005"
" ";" ";"do 1 leta";9
" ";" ";"1 leto";21
" ";" ";"2 leti";33
" ";" ";"3 leta";33
" ";" ";"4 leta";31
" ";" ";"5-9 let";158
" ";" ";"10-14 let";132
" ";" ";"15-19 let";131
" ";" ";"20-24 let";105
